pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
92.85,82.33,0.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uf,smt
92.85,79.32,0.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uf,smt
92.85,76.31,0.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uf,smt
92.85,73.3,0.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uf,smt
83.51,63.17,0.0,top,C19,,,C_Elec_10x10.2,470uf,smt
70.36,33.985,0.0,top,C24,,,C_Elec_6.3x7.7,47uf,smt
85.4175,84.04,0.0,top,C33,25TQC33MYF,,CAP-SMD_L7.3-W4.3-FD,25TQC33MYF,smt
85.4175,78.43,0.0,top,C34,25TQC33MYF,,CAP-SMD_L7.3-W4.3-FD,25TQC33MYF,smt
85.4175,72.82,0.0,top,C35,25TQC33MYF,,CAP-SMD_L7.3-W4.3-FD,25TQC33MYF,smt
92.85,85.34,0.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uf,smt
78.21,85.07,0.0,top,JP1,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht
78.21,81.52,0.0,top,JP2,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht
78.21,77.97,0.0,top,JP3,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht
78.21,74.42,0.0,top,JP4,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht
78.21,70.87,0.0,top,JP5,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht
65.765,20.735,0.0,top,L1,APH0420T1R0M,,IND-SMD_L4.4-W4.2,APH0420T1R0M,tht
58.635,18.995,0.0,top,L3,0420CDMCCDS-1R0MC,,IND-SMD_L4.2-W4.2_MCW-0420,0420CDMCCDS-1R0MC,smt
78.41,55.77,0.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2R,smt
62.66,63.125,0.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0.5R,smt
62.66,60.175,0.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.2k,smt
87.91,55.77,0.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.2k,smt
67.41,66.075,0.0,top,R16,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.2k,smt
67.41,63.125,0.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.2k,smt
57.91,66.075,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51k,smt
67.41,60.175,0.0,top,R21,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
57.91,63.125,0.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
57.91,60.175,0.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
83.16,55.77,0.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.2k,smt
62.66,66.075,0.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
60.46,33.86,0.0,top,SGM2212-3.1,,,SOT-223,~,smt
59.36,25.73,0.0,top,U1,IP2312-4V35,,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,IP2312-4V35,smt
184.58,50.55,-90.0,top,U13,,,ESP32-WROOM-32D,ESP32-WROOM-32D,smt
59.76,52.8,0.0,top,U14,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340C,smt
19.235,84.105,0.0,top,U15,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340C,smt
15.85,50.25,90.0,top,U16,,,ESP32-WROOM-32D,ESP32-WROOM-32D,smt
54.32,85.04,0.0,top,U2,BQ25798RQMR,,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,BQ25798RQMR,smt
5.12,84.16,-90.0,top,USB1,TYPE-C 16PIN 2MD(073),,USB-C-SMD_TYPE-C-16PIN-2MD-073,TYPE-C 16PIN 2MD,smt
69.16,26.615,0.0,top,USB2,,,USB-C-SMD_HX-TYPE-C-16P-180-LT-H15.0,HX-TYPE-C 16P 180 LT H15.0,smt
