pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
71.085,86.965,90.0,top,R31,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
72.58,96.94,180.0,top,R32,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7K,smt
48.64,88.41,0.0,top,R33,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7K,smt
48.64,86.43,0.0,top,R34,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7K,smt
44.42,56.61,90.0,top,R35,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
42.39,56.6,-90.0,top,R36,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,30k,smt
73.99,80.47,180.0,top,R79,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
73.81,83.695,0.0,top,R80,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
72.73,92.93,180.0,top,R81,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0,smt
72.74,94.9,180.0,top,R82,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0,smt
93.71,90.93,0.0,top,R84,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
96.52,77.74,90.0,top,R85,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
93.32,62.863333,0.0,top,RUN1,,,LED0805-FD-GREEN,YLED0805G,smt
66.71,73.1,0.0,top,SW2,,,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,BOOT,tht
54.25,73.21,0.0,top,SW4,,,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,RESET,tht
3.851264,35.577644,90.0,top,U10,DB125-3.81-2P-BK-S,,CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,DB125-3.81-2P-BK-S,tht
85.9225,4.0825,180.0,top,U11,DB125-3.81-2P-BK-S,,CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,DB125-3.81-2P-BK-S,tht
79.88,83.56,180.0,top,U15,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340C,smt
60.31,90.15,0.0,top,U16,,,ESP32-WROOM-32U,ESP32-WROOM-32D,smt
39.39,48.445,180.0,top,U2,,,L298N-module-43x43mm,L298N,tht
90.24,76.51,-90.0,top,U3,CH224K,,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,CH224K,smt
81.25,22.3275,-90.0,top,U4,CN3795,,SSOP-10_L4.9-W3.9-P1.00-LS6.0-BL,CN3795,smt
48.27,56.38,180.0,top,U5,LM358DR,,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,LM358DR,smt
68.7,59.37,0.0,top,U7,,,PG-TO-263-5_L10.2-W8.7-P1.70-LS14.4-BR,LM2576HVS-3.3,smt
3.851264,18.235144,90.0,top,U8,DB125-3.81-2P-BK-S,,CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,DB125-3.81-2P-BK-S,tht
3.851264,26.905144,90.0,top,U9,DB125-3.81-2P-BK-S,,CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,DB125-3.81-2P-BK-S,tht
94.8575,84.8,90.0,top,USB1,TYPE-C 16PIN 2MD(073),,USB-C-SMD_TYPE-C-16PIN-2MD-073,TYPE-C 16PIN 2MD,smt
93.32,67.825,0.0,top,USB3,,,LED0805-FD-GREEN,YLED0805G,smt
51.44,47.44,90.0,top,VCC1,,,PinHeader_1x01_P2.00mm_Vertical,M_VCC,tht
